kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq
6387450,FALSE POSITIVE,3.661326482,135.26995,2.5714,17846.0,12.07,1023.0
6470149,CANDIDATE,165.739861,214.039466,24.9393,7343.4,57.54,692.0
6462874,FALSE POSITIVE,22.34293693,155.08552,7.0813,2691.1,2.92,399.0
11414511,CONFIRMED,2.816504904,170.9676846,2.50587,16813.7,12.21,1219.0
11442465,FALSE POSITIVE,33.93373447,186.67608,14.561,8503.7,7.34,430.0
11460018,CONFIRMED,4.280963604,171.89659,2.875,750.8,2.3,1012.0
11463211,FALSE POSITIVE,1.50635409,170.998064,1.5155,2211.7,4.53,1452.0
11465813,FALSE POSITIVE,670.645531,209.04355,53.412,18090.6,14.14,196.0
11493732,FALSE POSITIVE,61.2563628,173.83826,7.633,5123.3,39.87,505.0
5794379,CONFIRMED,36.06588163,198.58423,4.3246,1563.8,2.64,397.0
5881688,CONFIRMED,4.190425659,171.44122,2.8589,2877.4,6.21,1234.0
6022556,CONFIRMED,3.709870784,171.987982,3.0694,2020.3,4.35,1151.0
6032497,CONFIRMED,16.3297527,177.29506,6.271,1187.5,3.75,727.0
6061119,CONFIRMED,27.807566216,186.713552,4.21587,25391.1,13.84,554.0
6191521,CONFIRMED,80.8723469,203.895,11.195,3604.6,7.59,452.0
8256049,FALSE POSITIVE,16.37198661,172.75926,3.8449,4147.6,540.37,438.0
8414716,CONFIRMED,5.392026903,171.72707,2.9804,1151.4,2.68,850.0
8490993,CONFIRMED,4.093578461,171.00954,2.5833,538.6,2.85,1182.0
8490993,CONFIRMED,105.145959,178.367,8.593,685.4,3.43,401.0
8505670,CONFIRMED,10.8484518,171.80584,2.9993,1675.6,2.34,499.0
8505670,CONFIRMED,6.66833241,137.43988,1.915,362.3,1.18,587.0
8359498,CONFIRMED,3.578780566,134.0304187,2.91089,11382.2,10.43,1145.0
1433962,FALSE POSITIVE,1.592633181,133.9243804,5.5605,633.1,1.56,1053.0
11607193,FALSE POSITIVE,5.177577252,132.9009561,2.4777,1325.4,73.82,1671.0
1161345,CONFIRMED,4.28746668,262.06245,1.5693,790.1,2.29,942.0
10227501,FALSE POSITIVE,2.002779769,261.95791,2.231,260.5,1.42,1311.0
2854698,CONFIRMED,8.18739443,260.86931,3.0472,517.6,1.92,782.0
2854698,CONFIRMED,76.0498163,161.71445,7.158,445.9,1.75,372.0
7295235,CONFIRMED,3.179267286,261.841607,1.0246,200.9,1.21,1101.0
8288947,CONFIRMED,3.75574267,133.4333,2.2911,417.4,1.58,977.0
8312852,FALSE POSITIVE,7.44042933,134.76331,2.991,547.3,2.74,883.0
8302450,FALSE POSITIVE,2.44199803,134.57095,2.759,251.7,1.44,1282.0
8313667,CANDIDATE,30.5872153,162.8842,5.3698,464.8,2.32,621.0
7626506,CONFIRMED,28.5742692,143.8315,4.9427,824.9,2.32,538.0
8351704,CONFIRMED,7.09712124,136.34514,2.1059,369.5,0.74,425.0
8299955,FALSE POSITIVE,2.6827683,134.25535,2.957,79.8,1.19,1551.0
6462874,FALSE POSITIVE,10.42360821,138.01504,5.404,878.3,1.67,515.0
6665223,FALSE POSITIVE,119.40817159,232.649303,9.3537,18563.3,16.26,328.0
6665223,FALSE POSITIVE,419.97507836,524.8465031,12.1687,275.1,1.53,215.0
6545358,FALSE POSITIVE,1.171536413,178.597581,1.5878,1132.7,7.12,2387.0
10925104,CONFIRMED,5.188563677,145.362252,2.3683,358.7,1.0,586.0
6390824,FALSE POSITIVE,0.973547911,133.49742,2.2858,435.7,11.52,1814.0
6546528,FALSE POSITIVE,3.053563251,133.88354,3.2551,508.4,21.79,1171.0
8395660,CONFIRMED,43.84439721,151.93538,6.802,615.2,2.87,531.0
11507101,CONFIRMED,38.3775486,172.82048,5.588,724.2,2.82,529.0
11656840,FALSE POSITIVE,7.442652004,169.9717797,2.3078,24446.2,15.03,967.0
11754553,CONFIRMED,16.38489988,172.72782,3.0249,1127.1,2.0,433.0
11754553,CONFIRMED,7.8774163,176.3759,2.0805,1306.1,2.16,553.0
11754553,CONFIRMED,36.4454001,151.60125,4.007,1122.3,1.99,332.0
11812062,CONFIRMED,3.728732147,171.793255,2.683,5226.5,6.02,1023.0
11869052,CANDIDATE,20.5452375,137.91394,2.517,218.5,2.41,742.0
6267425,FALSE POSITIVE,3.166465862,172.002627,2.9381,4357.2,26.82,954.0
